date,oil_spot,oil_futures,oil_futures_rs,c0,c0_rs,c1,c1_rs,c2,c2_rs,c3,c3_rs,c4,c4_rs,c5,c5_rs,c6,c6_rs,c7,c7_rs,c8,c8_rs,c9,c9_rs
20020102,21.02,21.504,0,6.845,0,6.1354,0,3.1322,0,62564,0,5127.5,0,51647,0,26175,1740,70525,0,104369.9,0,6079,120
20020103,20.87,21.041,0,6.899,0,6.0186,0,3.026,0,62574,0,5121.5,0,53059,0,25995,0,70527.5,0,104584.6,0,6044,0
20020104,21.62,21.787,0,7.004,0,6.2315,0,3.0482,0,62577,0,5182.6,0,53286.5,0,25640,0,70182.5,0,104535.7,0,6274,0
20020107,21.47,21.608,0,7.3705,0,6.1616,0,3.0394,0,62549,0,5168.6,0,52697,0,25089,0,70412.5,0,105254.2,0,6234,0
20020108,21.27,21.402,0,7.332,0,6.1409,0,3.0663,0,62658,0,5214.2,0,52484,0,25901,0,70127.5,0,105247.2,0,6110,0
20020109,20.17,20.87,0,7.3915,0,5.9486,0,3.0209,0,62613,0,5222.8,0,53081,0,25975,0,70645,0,105289,0,5831,0
20020110,20.37,21.224,0,7.3,0,6.0471,0,2.9945,0,62437,0,5205.5,0,52253,0,26000,0,70430,0,105963.8,0,5905.5,0
20020111,19.68,20.881,0,7.32,0,5.9573,0,2.957,0,62596,0,5188.3,0,52636.5,0,25698,0,69922.5,0,106578.5,0,5740,0
20020114,18.87,20.234,0,7.32,0,5.829,0,2.9653,0,62663,0,5148.6,0,51244.5,0,24918,0,70660,0,106713.9,0,5527,0
20020115,18.9,20.183,0,7.261,0,5.8092,0,2.963,0,62914,0,5163.7,0,51181,0,25437,0,71612.5,0,107001.3,0,5518,0
20020116,18.87,20.378,0,7.324,0,5.8614,0,3.0059,0,62587,0,5135.3,0,50257,0,26160,0,71145,0,106976.5,0,5561,0
20020117,17.97,19.851,0,7.325,0,5.735,0,2.9648,0,62016,0,5127.2,0,51117.5,0,26286,0,71070,0,106365.2,0,5352.5,0
20020118,18.02,19.875,0,7.23,0,5.7174,0,2.9718,0,62055,0,5130.1,0,51327.5,0,26230,0,71505,0,106627.9,0,5418.5,0
20020122,18.32,20.123,0,7.267,0,5.751,0,2.9382,0,62143,0,5171.4,0,50883,0,27270,0,71232.5,0,106537,0,5472.5,0
20020123,19.27,20.219,0,7.3255,0,5.8195,0,2.9526,0,62362,0,5159.8,0,51080.5,0,27055.1,0,71280,0,105959.5,0,5627.5,0
20020124,19.42,20.249,0,7.3845,0,5.843,0,2.9596,0,62334,0,5174.6,0,52030,0,27830,0,71717.5,0,105729.6,0,5686,0
20020125,19.72,20.559,0,7.356,0,5.9109,0,2.945,0,62032,0,5148.4,0,51694,0,28811,0,74795,2775,105455.1,0,5808.5,0
20020128,20.02,20.62,0,7.2525,0,5.8855,0,2.8866,0,62192,0,5144.3,0,51926.5,0,28612,0,74915,0,105465.3,0,5806,0
20020129,19.57,20.336,0,7.2345,0,5.8049,0,2.9317,0,62753,0,5089.9,0,51452,0,28135,0,75627.5,0,106176.3,0,5676,0
20020130,19.07,20.144,0,7.2135,0,5.7674,0,2.9111,0,62930,0,5043.1,0,50558,0,27189,0,75792.5,0,106310.5,0,5528,0
20020131,19.47,20.474,0,7.53,0,5.8639,0,2.9056,0,63077,0,5050.6,0,50899,0,26910,0,75515,0,105890.6,0,5630,0
20020201,20.37,20.963,0,7.595,0,6.0228,0,2.8926,0,62821,0,5065.8,0,51202,0,27295,0,75325,0,106217.5,0,5973,110
20020204,20.07,20.747,0,7.517,0,5.931,0,2.8791,0,62668,0,5097.5,0,50601,0,26885,0,75632.5,0,106873.2,0,5937,0
20020205,20.07,20.692,0,7.545,0,5.9176,0,2.8742,0,62550,0,5081.3,0,49335.5,0,26334,0,75780,0,106963.9,0,5861,0
20020206,19.77,20.48,0,7.5155,0,5.8326,0,2.8772,0,62300,0,5070,0,48168.5,0,26848,0,76290,0,106778.1,0,5726.5,0
20020207,19.62,20.435,0,7.583,0,5.8106,0,2.916,0,62515,0,5070.2,0,48566,0,26761,0,76135,0,106540.7,0,5697,0
20020208,20.27,20.856,0,7.5635,0,5.9144,0,2.9509,0,62626,0,5090.8,0,48903,0,27655,0,76335,0,106877,0,5867,0
20020211,21.42,21.673,0,7.51,0,6.1443,0,3.0059,0,62832,0,5110.9,0,49119,0,28511,0,76035,0,106818.6,0,6181,0
20020212,20.72,21.138,0,7.5645,0,6.0106,0,3.0614,0,62811,0,5077.1,0,48985,0,29260,0,75945,0,106382.7,0,6022,0
20020213,21.17,21.369,0,7.7205,0,6.0438,0,3.0561,0,62825,0,5082,0,49342,0,28832,0,75940,0,106134.3,0,6081,0
20020214,21.22,21.388,0,7.6685,0,6.054,0,3.0174,0,62783,0,5155.6,0,49862,0,29768,0,76015,0,106373.2,0,6023,0
20020215,21.52,21.489,0,7.5725,0,6.086,0,3.0307,0,62884,0,5159.9,0,49123.5,0,29425,0,75780,0,107068.7,0,6106.5,0
20020219,20.87,21.133,0,7.319,0,5.961,0,3.1397,0,62995,0,5172.6,0,47845,0,28500,0,75345,0,106978,0,5929,0
20020220,20.27,20.712,0,7.316,0,5.873,0,3.1527,0,62895,0,5176.9,0,47957,0,28647,0,75635,0,106975,0,5765,0
20020221,20.67,21.061,0,7.3735,0,5.9892,0,3.1843,0,62873,0,5164.5,0,48299.5,0,28290,0,75030,0,107054.5,0,5839,0
20020222,21.07,21.082,0,7.234,0,5.9832,0,3.213,0,62669,0,5123.9,0,47714.5,0,28295,0,74585,0,107401.9,0,5872,0
20020225,20.27,20.688,0,7.296,0,5.8276,0,3.1342,0,62484,0,5125.9,0,48257,0,29204,0,74550,0,107260.9,0,5641,0
20020226,21.42,21.313,0,7.266,0,6.0272,0,3.1619,0,62126,0,5127.6,0,48913,0,30150,0,73902.5,0,106801.5,0,5740,0
20020227,21.27,21.336,0,7.369,0,6.03,0,3.2005,0,62175,0,5147,0,49912,0,30556,650,74450,0,106131.4,-1328,5847,0
20020228,21.72,21.732,0,7.3745,0,6.1765,0,3.1899,0,62398,0,5167,0,50270,0,31080,0,74205,0,105948.5,0,5884,0
20020301,22.4,22.27,0,7.485,0,6.307,0,3.1946,0,62780,0,5188.7,0,50924.5,0,30197,0,74707.5,0,105218.5,0,7033,910
20020304,22.55,22.326,0,7.5795,0,6.264,0,3.2699,0,62856,0,5194.6,0,52492.5,0,30488,0,74705,0,104977.7,0,7086,0
20020305,23.15,22.924,0,7.57,0,6.4448,0,3.2554,0,62947,0,5199.8,0,52461,0,30380,0,74240,0,104927,0,7296,0
20020306,23.29,22.994,0,7.6625,0,6.4529,0,3.3093,0,63212,0,5225,0,52676.5,0,30898,0,75147.5,0,104792.5,0,7395,0
20020307,23.62,23.44,0,7.65,0,6.6003,0,3.4636,0,63188,0,5252.6,0,53258.5,0,31703,0,75430,0,103625.3,0,7654,0
20020308,23.87,23.637,0,7.693,0,6.6184,0,3.541,0,63033,-40,5200.1,-27,53379,0,32144,0,75807.5,0,102883,0,7686,0
20020311,24.36,24.17,0,7.64,0,6.7615,0,3.7057,0,63097,0,5186.8,0,53304,0,31959,0,75735,0,102872.1,0,7899.5,0
20020312,23.9,24.117,0,7.5905,0,6.7644,0,3.71,0,63062,0,5172.8,0,52924,0,31812,0,75632.5,0,102973.3,0,7863,0
20020313,24.12,24.03,0,7.585,0,6.827,0,3.5807,0,62588,0,5163.4,0,52480,0,31495,0,74690,0,103283,0,7902,0
20020314,24.32,23.974,0,7.62,0,6.8226,0,3.5956,0,62756,0,5201.6,0,53289,495,31560,0,73355,0,102377.6,0,7979,0
20020315,24.47,23.958,0,7.663,0,6.7787,0,3.6817,0,63069,0,5225.7,0,54132,0,30710,0,72432.5,0,102606,0,8078.5,0
20020318,24.45,24.4,0,7.802,0,6.9145,0,3.8549,0,63009,0,5218.6,0,54692.5,0,30589,0,72180,0,102962.5,0,8296,0
20020319,25.02,24.398,0,7.862,0,6.8935,0,3.8452,0,63062,0,5203.1,0,54933,0,30913,0,71305,0,102864.2,0,8313,0
